0 in 31
1 in 41
2 1 24 1
2 1 22 1
2 1 1 1
2 1 47 1
2 1 16 1
2 1 39 1
2 2 2 1
2 2 8 1
2 2 29 1
2 2 14 1
2 2 9 1
2 3 25 1
2 4 29 1
2 4 55 1
2 4 20 1
2 4 48 1
2 4 51 1
2 5 3 1
2 5 34 1
2 5 10 1
2 6 20 1
2 6 4 1
2 7 55 1
2 7 7 1
2 7 10 1
2 7 37 1
2 7 38 1
2 7 51 1
2 8 15 1
2 8 37 1
2 9 13 1
2 9 56 1
2 10 55 1
2 10 9 1
2 10 51 1
2 11 1 1
2 11 34 1
2 11 51 1
2 12 38 1
2 13 35 1
2 13 54 1
2 13 57 1
2 13 49 1
2 13 48 1
2 14 6 1
2 14 18 1
2 14 57 1
2 14 49 1
2 15 30 1
2 15 1 1
2 15 27 1
2 15 28 1
2 16 30 1
2 16 49 1
2 16 38 1
2 16 26 1
2 16 21 1
2 18 54 1
2 18 47 1
2 19 6 1
2 19 35 1
2 19 57 1
2 20 22 1
2 20 5 1
2 20 57 1
2 20 46 1
2 21 36 1
2 21 34 1
2 21 11 1
2 22 16 1
2 23 45 1
2 23 14 1
2 24 2 1
2 24 24 1
2 24 12 1
2 24 14 1
2 24 27 1
2 24 48 1
2 25 34 1
2 25 42 1
2 26 18 1
2 26 27 1
2 26 16 1
2 27 20 1
2 27 39 1
2 27 48 1
2 28 12 1
2 28 1 1
2 28 48 1
2 29 8 1
2 29 58 1
2 29 23 1
2 29 32 1
2 29 27 1
2 29 39 1
2 29 37 1
2 29 51 1
2 30 2 1
2 30 7 1
2 30 16 1
2 30 28 1
2 32 55 1
2 32 50 1
2 32 53 1
2 32 44 1
2 32 39 1
2 33 50 1
2 33 18 1
2 34 45 1
2 34 13 1
2 34 47 1
2 34 23 1
2 34 28 1
2 35 35 1
2 35 20 1
2 35 15 1
2 35 19 1
2 36 37 1
2 37 44 1
2 37 16 1
2 38 5 1
2 38 14 1
2 38 28 1
2 38 21 1
2 39 29 1
2 39 7 1
2 39 25 1
2 39 30 1
2 40 8 1
2 40 30 1
2 40 10 1
2 40 27 1
2 42 18 1
2 42 38 1
2 42 51 1
2 43 2 1
2 43 22 1
2 43 54 1
2 43 43 1
2 43 27 1
2 43 39 1
2 44 20 1
2 44 34 1
2 44 14 1
2 44 42 1
2 45 2 1
2 45 35 1
2 45 5 1
2 45 16 1
2 45 9 1
2 45 28 1
2 46 13 1
2 46 21 1
2 47 10 1
2 47 40 1
2 48 35 1
2 48 18 1
2 49 33 1
2 49 5 1
2 49 53 1
2 49 43 1
2 50 55 1
2 50 49 1
2 50 52 1
2 50 23 1
2 50 43 1
2 51 12 1
2 51 20 1
2 51 1 1
2 51 57 1
2 52 53 1
2 53 2 1
2 53 1 1
2 53 58 1
2 53 15 1
2 53 43 1
2 54 29 1
2 54 35 1
2 54 50 1
2 54 34 1
2 55 34 1
2 55 52 1
2 56 12 1
2 56 35 1
2 56 40 1
2 56 27 1
2 56 28 1
2 56 21 1
2 57 1 1
2 57 49 1
2 57 14 1
2 57 32 1
2 57 11 1
2 57 39 1
2 58 54 1
2 58 5 1
2 58 30 1
2 58 53 1
2 58 43 1
2 in 24
2 in 40
2 in 48
2 in 52
2 in 16
2 out 5
2 out 37
2 out 40
2 out 57
2 out 11
2 out 53
3 17 17 1
4 out 59
5 out 60
